,Title,Memorandum For,Subject,Categories,Subjects,Administration,Date,Date Filed,CPD Number
253,Memorandum on Assistance to Colombia,Memorandum for the Secretary of State,Use of Section 614 to Provide Assistance to Colombia,,,William J. Clinton,"August 16, 1997",,19970825
254,Memorandum Authorizing the Transfer of Agency for International Development Appropriations,Memorandum for the Administrator of the Agency for International Development,"Determination Under Section 610(a) of the Foreign Assistance Act of 1961, as amended, to Transfer $17.5 million to the Operating Expenses Appropriation",,,William J. Clinton,"August 20, 1997",,19970825
255,Memorandum on Law Enforcement in Indian Country,"Memorandum for the Attorney General, the Secretary of the Interior",Law Enforcement in Indian Country,,,William J. Clinton,"August 25, 1997",,19970901
256,Memorandum on Trade Sanctions,"Memorandum for the Secretary of State, the Secretary of the Treasury",Extension of the Exercise of Certain Authorities Under the Trading With the Enemy Act,,,William J. Clinton,"September 12, 1997",,19970922
257,Memorandum on Contributions to the International Fund for Ireland,Memorandum for the Secretary of State,Presidential Determination to Permit U.S. Contributions to the International Fund for Ireland with Fiscal Year 1996 and 1997 Funds,,,William J. Clinton,"September 22, 1997",,19970929
258,Memorandum on Funding for the African Crisis Response Initiative,Memorandum for the Secretary of State,Transfer of $4 million in FY 1997 Economic Support Funds to the Peacekeeping Operations Account to Support the African Crisis Response Initiative,,,William J. Clinton,"September 22, 1997",,19970929
259,Memorandum on Refugee Immigration,Memorandum for the Secretary of State,"Presidential Determination on FY 1998 Refugee Admissions Numbers and Authorizations of In-Country Refugee Status Pursuant to Sections 207 and 101(a)(42), Respectively, of the Immigration and Nationality Act, and Determination Pursuant to Section 2(b)(2) of the Migration and Refugee Assistance Act, as Amended",,,William J. Clinton,"September 30, 1997",,19971006
260,Memorandum on Counternarcotics Assistance to Certain Latin American and ,"Memorandum for the Secretary of State, the Secretary of Defense, the Secretary of Transportation","Drawdown Under Section 506(a)(2) of the Foreign Assistance Act to Provide Counternarcotics Assistance to Colombia, Venezuela, Peru, and the Countries of the Eastern Caribbean",,,William J. Clinton,"September 30, 1997",,19971006
261,Memorandum on Delegation of Authority,Memorandum for the Secretary of Defense,Delegation of Authority Under Section 1322(c) of the National Defense Authorization Act for Fiscal Year 1996 (Public Law 104-106),,,William J. Clinton,"September 30, 1997",,19971006
262,Memorandum on the Food Safety Initiative,"Memorandum for the Secretary of Health and Human Services, the Secretary of Agriculture",Initiative to Ensure the Safety of Imported and Domestic Fruits and Vegetables,,,William J. Clinton,"October 2, 1997",,19971006
263,Memorandum on the Switzerland-United States Agreement on the Peaceful ,"Memorandum for the Secretary of State, the Secretary of Energy",Presidential Determination on the Proposed Agreement for Cooperation Between the Government of the United States of America and the Swiss Federal Council Concerning Peaceful Uses of Nuclear Energy,,,William J. Clinton,"October 8, 1997",,19971013
264,Memorandum on the Brazil-United States Agreement on the Peaceful Uses of ,"Memorandum for the Secretary of State, the Secretary of Energy",Presidential Determination on the Proposed Agreement for Cooperation Between the Government of the United States of America and the Government of the Federative Republic of Brazil Concerning Peaceful Uses of Nuclear Energy,,,William J. Clinton,"October 9, 1997",,19971013
265,Memorandum on Low-Performing Public Schools,Memorandum for the Secretary of Education,Turning Around Low-Performing Public Schools,,,William J. Clinton,"October 28, 1997",,19971103
266,Memorandum on Importation of Modified Semiautomatic Assault-Type Rifles,Memorandum for the Secretary of the Treasury,Importation of Modified Semiautomatic Assault-Type Rifles,,,William J. Clinton,"November 14, 1997",,19971124
267,Memorandum on the Kazakhstan-United States Agreement on Peaceful Uses of ,"Memorandum for the Secretary of State, the Secretary of Energy",Presidential Determination on the Proposed Agreement for Cooperation Between the Government of the United States of America and the Republic of Kazakhstan Concerning Peaceful Uses of Nuclear Energy,,,William J. Clinton,"November 17, 1997",,19971124
268,Memorandum on the Health Care ``Consumer Bill of Rights and ,"Memorandum for the Secretary of Defense, the Secretary of Labor, the Secretary of Health and Human Services, the Secretary of Veterans Affairs, the Director of the Office of Management and Budget",The Health Care Consumer Bill of Rights and Responsibilities,,,William J. Clinton,"November 20, 1997",,19971124
269,Memorandum on Integration of HIV Prevention in Federal Programs Serving ,Memorandum for the Heads of Executive Departments and Agencies,Integration of HIV Prevention in Federal Programs Serving Youth,,,William J. Clinton,"December 1, 1997",,19971208
270,Memorandum on Burma,Memorandum for the Secretary of State,Report to Congress Regarding Conditions in Burma and U.S. Policy Toward Burma,,,William J. Clinton,"December 2, 1997",,19971208
271,Memorandum on Emigration Policies of Certain Former Eastern Bloc States,Memorandum for the Secretary of State,"Presidential Determination Under Subsections 402(a) and 409(a) of the Trade Act of 1974, as Amended--Emigration Policies of Albania, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan",,,William J. Clinton,"December 5, 1997",,19971215
272,Memorandum on the Palestine Liberation Organization,Memorandum for the Secretary of State,Presidential Determination on Waiver and Certification of Statutory Provisions Regarding the Palestine Liberation Organization,,,William J. Clinton,"December 5, 1997",,19971215
273,Memorandum on Deferred Enforced Departure for Haitians,Memorandum for the Attorney General,Deferred Enforced Departure (DED) for Haitians,,,William J. Clinton,"December 23, 1997",,19971229
274,Memorandum on Ending Drug Use and Drug Availability for Offenders,Memorandum for the Attorney General,Zero Tolerance for Drug Use and Drug Availability for Offenders,,,William J. Clinton,"January 12, 1998",,19980119
275,Memorandum on the China-            United States Nuclear Cooperation ,Memorandum for the Secretary of State,Certification Pursuant to Section (b)(1) of Public Law 99-183 and to Section 902(a)(6)(B) of Public Law 101-246,,,William J. Clinton,"January 12, 1998",,19980119
276,Memorandum on Assistance for the New Independent States of the Former ,Memorandum for the Secretary of State,Assistance Program for the New Independent States of the Former Soviet Union,,,William J. Clinton,"January 26, 1998",,19980202
277,Memorandum on Funding of International Financial Institutions and Other ,Memorandum for the Secretary of State,"Determination Pursuant to Section 523 of the Foreign Operations, Export Financing, and Related Programs Appropriations Act, 1998 (Public Law 105-118)",,,William J. Clinton,"January 28, 1998",,19980202
278,Memorandum on Enhancing Education Through Technology,Memorandum for the Heads of Executive Departments and Agencies,Enhancing Learning and Education Through Technology,,,William J. Clinton,"January 30, 1998",,19980209
279,Memorandum on Renewal of the China-United States Trade Agreement,Memorandum for the United States Trade Representative,Renewal of Trade Agreement with the People's Republic of China,,,William J. Clinton,"January 30, 1998",,19980209
280,Memorandum on the Korean Peninsula Energy Development Organization,Memorandum for the Secretary of State,U.S. Contribution to the Korean Peninsula Energy Development Organization (KEDO),,,William J. Clinton,"February 9, 1998",,19980216
281,Memorandum on Children's Health Insurance Outreach,"Memorandum for the Secretary of the Treasury, the Secretary of Agriculture, the Secretary of the Interior, the Secretary of Labor, the Secretary of Health and Human Services, the Secretary of Housing and Urban Development, the Secretary of Education, the Commissioner of Social Security",Children's Health Insurance Outreach,,,William J. Clinton,"February 18, 1998",,19980223
282,Memorandum on Federal Agency Compliance With the Patient Bill of Rights,"Memorandum for the Secretary of Defense, the Secretary of Labor, the Secretary of Health and Human Services, the Secretary of Veterans Affairs, the Director of the Office of Personnel Management",Federal Agency Compliance with the Patient Bill of Rights,,,William J. Clinton,"February 20, 1998",,19980223
283,Memorandum on Helping Schools End Social Promotions,Memorandum for the Secretary of Education,Helping Schools End Social Promotions,,,William J. Clinton,"February 23, 1998",,19980302
284,Memorandum on Certification for Major Illicit Drug Producing and Drug ,Memorandum for the Secretary of State,Certification for Major Illicit Drug Producing and Drug Transit Countries,,,William J. Clinton,"February 26, 1998",,19980302
285,Memorandum on Standards To Prevent Drinking and Driving,Memorandum for the Secretary of Transportation,Standards to Prevent Drinking and Driving,,,William J. Clinton,"March 3, 1998",,19980309
286,Memorandum on Conducting ``Conversations With America'' To Further ,Memorandum for the Heads of Executive Departments and Agencies,Conducting ``Conversations with America'' to Further Improve Customer Service,,,William J. Clinton,"March 3, 1998",,19980309
287,Memorandum on President's Community Empowerment Board,"Memorandum for the Vice President, the Secretary of the Treasury, the Secretary of Defense, the Attorney General, the Secretary of the Interior, the Secretary of Agriculture, the Secretary of Commerce, the Secretary of Labor, the Secretary of Health and Human Services, the Secretary of Housing and Urban Development, the Secretary of Transportation, the Secretary of Energy, the Secretary of Veterans Affairs, the Secretary of Education, the Chair of the Council of Economic Advisors, the Administrator of the Environmental Protection Agency, the Director of the Office of Management and Budget, the Administrator of the Small Business Administration, the Director of National Drug Control Policy, the Director of the Federal Emergency Management Agency, the Administrator of the General Services Administration, the Administrator of the National Aeronautics and Space Administration, the Chief Executive Officer of the Corporation for National and Community Service, the Chair of the Council on Environmental Quality, the Assistant to the President for Domestic Policy, the Assistant to the President for Economic Policy",President's Community Empowerment Board,,,William J. Clinton,"March 3, 1998",,19980309
288,Memorandum on Vietnamese Cooperation in Accounting for United States ,Memorandum for the Secretary of State,Vietnamese Cooperation in Accounting for United States Prisoners of War and Missing in Action (POW/MIA),,,William J. Clinton,"March 4, 1998",,19980309
289,Memorandum on Steps To Improve Federally Sponsored Child Care,Memorandum for the Heads of Executive Departments and Agencies,Steps to Improve Federally Sponsored Child Care,,,William J. Clinton,"March 10, 1998",,19980316
290,Memorandum on Most-Favored-Nation Status for Vietnam,Memorandum for the Secretary of State,Presidential Determination on Section 402(c)(2)(A) of the Trade Act of 1974--Vietnam,,,William J. Clinton,"March 9, 1998",,19980316
291,Memorandum on Most-Favored-Nation Status for Vietnam,Memorandum for the Secretary of State,"Presidential Determination Under Subsection 2(b)(2)(D) of the Export-Import Bank Act of 1945, as Amended--Vietnam",,,William J. Clinton,"March 9, 1998",,19980316
292,Memorandum on Steps To Combat Violence Against Women and Trafficking in ,"Memorandum for the Secretary of State, the Attorney General, the Administrator of the Agency for International Development, the Director of the United States Information Agency",Steps to Combat Violence Against Women and Trafficking in Women and Girls,,,William J. Clinton,"March 11, 1998",,19980316
293,Memorandum on the Establishment of the Quality Interagency Coordination ,"Memorandum for the Secretary of Defense, the Secretary of Labor, the Secretary of Health and Human Services, the Secretary of Veterans Affairs, the Director of the Office of Personnel Management",Establishment of the Quality Interagency Coordination Task Force,,,William J. Clinton,"March 13, 1998",,19980316
294,Memorandum on a Military Drawdown for Jordan,"Memorandum for the Secretary of State, the Secretary of Defense",Military Drawdown for Jordan,,,William J. Clinton,"March 13, 1998",,19980316
295,Memorandum on the Korean Peninsula Energy Development Organization,Memorandum for the Secretary of State,"Use of Nonproliferation, Anti-Terrorism, Demining and Related Programs Account Funds for the U.S. Contribution to the Korean Peninsula Energy Development Organization (KEDO)",,,William J. Clinton,"April 3, 1998",,19980413
296,Memorandum on Streamlining the Granting of Waivers,Memorandum for the Heads of Executive Departments and Agencies,Streamlining the Granting of Waivers,,,William J. Clinton,"April 21, 1998",,19980427
297,Memorandum on Citizen Service,Memorandum for the Heads of Executive Departments and Agencies,Strengthening Our Commitment to Service,,,William J. Clinton,"April 22, 1998",,19980427
298,Memorandum on Prevention of Prison Inmates Inappropriately Receiving ,Memorandum for the Heads of Executive Departments and Agencies,Use of the Social Security Administration's Prisoner Database to Prevent Prison Inmates from Inappropriately Receiving Federal Benefits,,,William J. Clinton,"April 25, 1998",,19980504
299,Memorandum on the Combined Federal Campaign of the National Capital Area,Memorandum for the Heads of Executive Departments and Agencies,,,,William J. Clinton,"April 27, 1998",,19980504
300,Memorandum on Ukraine-United States Cooperation on Peaceful Uses of ,"Memorandum for the Secretary of State, the Secretary of Energy",Presidential Determination on the Proposed Agreement for Cooperation Between the United States of America and Ukraine Concerning Peaceful Uses of Nuclear Energy,,,William J. Clinton,"April 28, 1998",,19980504
301,Memorandum on Agency Use of Alternate Means of Dispute Resolution and ,Memorandum for Heads of Executive Departments and Agencies,Designation of Interagency Committees to Facilitate and Encourage Agency Use of Alternate Means of Dispute Resolution and Negotiated Rulemaking,,,William J. Clinton,"May 1, 1998",,19980504
302,Memorandum on Sanctions Against India for Detonation of a Nuclear Device,Memorandum for the Secretary of State,Sanctions Against India for Detonation of a Nuclear Explosive Device,,,William J. Clinton,"May 13, 1998",,19980518
303,Memorandum on Privacy and Personal Information in Federal Records,Memorandum for the Heads of Executive Departments and Agencies,Privacy and Personal Information in Federal Records,,,William J. Clinton,"May 14, 1998",,19980518
304,Memorandum on Assistance to the Russian Federation,Memorandum for the Secretary of State,Assistance Program for the Government of the Russian Federation,,,William J. Clinton,"May 23, 1998",,19980601
305,Memorandum on Improving Financial Management,Memorandum for the Heads of Executive Departments and Agencies,Actions to Further Improve Financial Management,,,William J. Clinton,"May 26, 1998",,19980601
306,Memorandum on Sanctions Against Pakistan for Detonation of a Nuclear ,Memorandum for the Secretary of State,Sanctions Against Pakistan for Detonation of a Nuclear Explosive Device,,,William J. Clinton,"May 30, 1998",,19980608
307,Memorandum on Assistance to Africa and Southeast Asia,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"May 29, 1998",,19980608
308,Memorandum on Adjustment to Competition From Imports of Wheat Gluten,"Memorandum for the Secretary of the Treasury, the Secretary of Agriculture, the United States Trade Representative",Action Under Section 203 of the Trade Act of 1974 Concerning Wheat Gluten,,,William J. Clinton,"May 30, 1998",,19980608
309,Memorandum on Plain Language in Government Writing,Memorandum for the Heads of Executive Departments and Agencies,Plain Language in Government Writing,,,William J. Clinton,"June 1, 1998",,19980608
310,Memorandum on Most-Favored-Nation Status for China,Memorandum for the Secretary of State,"Determination Under Section 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 3, 1998",,19980608
311,Memorandum on Most-Favored-Nation Status for Vietnam,Memorandum for the Secretary of State,"Determination Under Subsection 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 3, 1998",,19980608
312,Memorandum on Most-Favored-Nation Status for Belarus,Memorandum for the Secretary of State,"Determination Under Subsection 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 3, 1998",,19980608
313,Memorandum on Waiver and Certification of Statutory Provisions Regarding ,Memorandum for the Secretary of State,Waiver and Certification of Statutory Provisions Regarding the Palestine Liberation Organization,,,William J. Clinton,"June 3, 1998",,19980608
314,Memorandum on Withdrawal of Certain Areas of the United States Outer ,Memorandum for the Secretary of the Interior,Withdrawal of Certain Areas of the United States Outer Continental Shelf from Leasing Disposition,,,William J. Clinton,"June 12, 1998",,19980622
315,Memorandum on the Report to Congress Regarding Conditions in Burma and ,Memorandum for the Secretary of State,Report to Congress Regarding Conditions in Burma and U.S. Policy Toward Burma,,,William J. Clinton,"June 15, 1998",,19980622
316,Memorandum on Assistance to the Korean Peninsula Energy Development ,Memorandum for the Secretary of State,Presidential Determination on U.S. Assistance to the Korean Peninsula Energy Development Organization (KEDO),,,William J. Clinton,"June 19, 1998",,19980622
317,Memorandum on the Purchase of Airline Tickets to Lebanon,Memorandum for the Secretary of Transportation,Purchase of Airline Tickets to Lebanon,,,William J. Clinton,"June 19, 1998",,19980629
318,Memorandum on Actions To Improve Children's Health Insurance Outreach,"Memorandum for the Secretary of the Treasury, the Secretary of Agriculture, the Secretary of the Interior, the Secretary of Labor, the Secretary of Health and Human Services, the Secretary of Housing and Urban Development, the Secretary of Education, the Commissioner of Social Security",Federal Actions to Improve Children's Health Insurance Outreach,,,William J. Clinton,"June 22, 1998",,19980629
319,Memorandum on Refugee Admissions Consultations,Memorandum for the Secretary of State,FY 1999 Refugee Admissions Consultations,,,William J. Clinton,"June 25, 1998",,19980629
320,Memorandum on the Joint Institute for Food Safety Research,Memorandum for the Secretary of Health and Human Services and the Secretary of Agriculture,Joint Institute for Food Safety Research,,,William J. Clinton,"July 3, 1998",,19980713
321,Memorandum on Ensuring Compliance With the Health Insurance Portability ,"Memorandum for the Secretary of Labor, the Secretary of Health and Human Services, the Director of the Office of Personnel Management",Ensuring Compliance with the Health Insurance Portability and Accountability Act of 1996,,,William J. Clinton,"July 7, 1998",,19980713
322,Memorandum on the National Defense Authorization Act for Fiscal Year ,Memorandum for the Secretary of Defense,Delegation of Authority Under Section 1406(b) of the National Defense Authorization Act for Fiscal Year 1998,,,William J. Clinton,"July 8, 1998",,19980713
323,Memorandum on Romania-United States Cooperation Concerning Peaceful Uses ,"Memorandum for the Secretary of State, the Secretary of Energy",Presidential Determination on the Proposed Agreement for Cooperation Between the Government of the United States of America and the Government of Romania Concerning Peaceful Uses of Nuclear Energy,,,William J. Clinton,"July 15, 1998",,19980720
324,Memorandum on Public Availability of Tobacco Documents,Memorandum for the Secretary of Health and Human Services,Public Availability of Tobacco Documents,,,William J. Clinton,"July 17, 1998",,19980720
325,Memorandum on Outreach Actions to Increase Employment of Adults with ,"Memorandum for the Attorney General, the Secretary of Health and Human Services, the Chair of the Equal Opportunity Commission, the Administrator of the Small Business Administration",Outreach Actions to Increase Employment of Adults with Disabilities,,,William J. Clinton,"July 29, 1998",,19980803
326,Memorandum on Economic Development in American Indian and Alaska Native ,"Memorandum for the Secretary of Commerce, the Secretary of Housing and Urban Development, the Secretary of the Interior, the Secretary of the Treasury, Administrator of the Small Business Administration",Economic Development in American Indian and Alaska Native Communities,,,William J. Clinton,"August 6, 1998",,19980810
327,Memorandum on Assistance for Federal Employees Affected by the Embassy ,Memorandum for the Heads of Executive Departments and Agencies,Assistance for Federal Employees Affected by the Bombings at U.S. Embassies in Kenya and Tanzania,,,William J. Clinton,"August 12, 1998",,19980817
328,Memorandum on the National Academy of Sciences Report on Food Safety,Memorandum for the President's Council on Food Safety,National Academy of Sciences Report,,,William J. Clinton,"August 25, 1998",,19980831
329,Memorandum on Assistance to Kosovo,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"September 9, 1998",,19980914
330,Memorandum on Diversity in the Scientific and Technical Work Force,Memorandum for the National Science and Technology Council,Achieving Greater Diversity Throughout the U.S. Scientific and Technical Work Force,,,William J. Clinton,"September 10, 1998",,19980914
331,Memorandum on the Trading With the Enemy Act,"Memorandum for the Secretary of State, the Secretary of the Treasury",Extension of the Exercise of Certain Authorities Under the Trading With the Enemy Act,,,William J. Clinton,"September 11, 1998",,19980921
332,Memorandum on the Presidential Design Awards Program,Memorandum for the Heads of Executive Departments and Agencies,Presidential Design Awards Program,,,William J. Clinton,"September 23, 1998",,19980928
333,Memorandum on Assistance for Federal Employees Affected by Hurricane ,Memorandum for the Heads of Executive Departments and Agencies,Assistance for Federal Employees Affected by Hurricane Georges,,,William J. Clinton,"September 29, 1998",,19981005
334,Memorandum on Funding for the Korean Peninsula Energy Development ,Memorandum for the Secretary of State,"Use of $10 Million in Nonproliferation, Anti-Terrorism, Demining and Related Programs Account Funds and $5 Million in Economic Support Funds for a U.S. Contribution to the Korean Peninsula Development Organization (KEDO)",,,William J. Clinton,"September 29, 1998",,19981005
335,Memorandum on Withholding Assistance to the Government of Chad,"Memorandum for the Secretary of State, the Secretary of Defense, the Administrator of the Agency for International Development","Presidential Determination Pursuant to Section 582(a) of the Foreign Operations, Export Financing, and Related Programs Appropriations Act, 1998, on Withholding Assistance to the Government of Chad",,,William J. Clinton,"September 29, 1998",,19981005
336,Memorandum on Refugee Admissions,Memorandum for the Secretary of State,"Presidential Determination on FY 1999 Refugee Admissions Numbers and Authorizations of In-Country Refugee Status Pursuant To Sections 207 and 101(a)(42), Respectively, of the Immigration and Nationality Act, and Determination Pursuant to Section 2(b)(2) of the Migration and Refugee Assistance Act, as Amended",,,William J. Clinton,"September 30, 1998",,19981005
337,Memorandum on Funding for the Court To Try Accused Perpetrators of the ,Memorandum for the Secretary of State,Transfer of Funds to Support Court to Try Accused Perpetrators of Pan Am 103 Bombing,,,William J. Clinton,"September 30, 1998",,19981005
338,Memorandum on Providing International Counternarcotics Assistance to ,"Memorandum for the Secretary of State, the Secretary of the Treasury, the Secretary of Defense, the Attorney General, the Secretary of Transportation","Drawdrawn Under Section 506(a)(2) of the Foreign Assistance Act to Provide Counternarcotics Assistance to Bolivia, Brazil, Colombia, Dominican Republic, Ecuador, Guatemala, Honduras, Jamaica, Mexico, Peru, Trinidad and Tobago, and the Countries of the Eastern Caribbean",,,William J. Clinton,"September 30, 1998",,19981005
339,Memorandum on Blocked Property of Terrorist-List States,"Memorandum for the Secretary of State, the Secretary of the Treasury",Determination to Waive Requirements Relating to Blocked Property of Terrorist-List States,,,William J. Clinton,"October 21, 1998",,19981026
340,Memorandum on Policy Toward Burma,Memorandum for the Secretary of State,Report to the Congress Regarding Conditions In Burma and U.S. Policy Toward Burma,,,William J. Clinton,"October 27, 1998",,19981102
341,Memorandum on a Guidebook for Victims of Domestic Violence,Memorandum for the Director of the Office of Personnel Management,Guidebook for Victims of Domestic Violence,,,William J. Clinton,"November 4, 1998",,19981109
342,Memorandum on Emergency Disaster Relief for Central America,"Memorandum for the Secretary of State, the Secretary of Defense","Drawdown Under Section 506(a)(2)(A)(i)(II) of the Foreign Assistance Act of 1961, as Amended to Provide Emergency Disaster Relief Assistance for Honduras, Nicaragua, El Salvador, and Guatemala",,,William J. Clinton,"November 6, 1998",,19981116
343,Memorandum on Preventing Firearms Sales to Prohibited Purchasers,"Memorandum for the Secretary of the Treasury, the Attorney General",Preventing Firearms Sales to Prohibited Purchasers,,,William J. Clinton,"November 6, 1998",,19981116
344,Memorandum on Creation of the Military and Veterans Health Coordinating ,"Memorandum for the Secretary of Defense, the Secretary of Veterans Affairs, the Secretary of Health and Human Services",Creation of Military and Veterans Health Coordinating Board,,,William J. Clinton,"November 11, 1998",,19981116
345,Memorandum on Emergency Disaster Relief for Central America,"Memorandum for the Secretary of State, the Secretary of Defense","Drawdown Under Section 506(a)(2)(A)(i)(II) of the Foreign Assistance Act to Provide Emergency Disaster Relief Assistance for Honduras, Nicaragua, El Salvador, and Guatemala",,,William J. Clinton,"November 14, 1998",,19981123
346,Memorandum on Delegation of Authority Under the International Anti-,Memorandum for the Secretary of State,Delegation of Authority Under Section 5(d)(2) of the International Anti-Bribery and Fair Competition Act of 1998,,,William J. Clinton,"November 16, 1998",,19981123
347,Memorandum on Using the Internet To Increase Adoptions,Memorandum for the Secretary of Health and Human Services,Using the Internet to Increase Adoptions,,,William J. Clinton,"November 24, 1998",,19981130
348,Memorandum on the Palestine Liberation Organization,Memorandum for the Secretary of State,Waiver and Certification of Statutory Provisions Regarding the Palestine Liberation Organization,,,William J. Clinton,"November 25, 1998",,19981130
349,Memorandum on Electronic Commerce,Memorandum for the Heads of Executive Departments and Agencies,Successes and Further Work on Electronic Commerce,,,William J. Clinton,"November 30, 1998",,19981207
350,Memorandum on Delegation of Authority Concerning Refugee Assistance,Memorandum for the Secretary of State,"Delegation of Authority Under Section 2(b)(2) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"November 30, 1998",,19981207
351,Memorandum on Pakistan and India,Memorandum for the Secretary of State,Pakistan and India,,,William J. Clinton,"December 1, 1998",,19981207
352,Memorandum on Assistance for the New Independent States of the Former ,Memorandum for the Secretary of State,Assistance Program for the New Independent States of the Former Soviet Union,,,William J. Clinton,"December 8, 1998",,19981214
353,Memorandum on the Eleanor Roosevelt Award for Human Rights,Memorandum for the Secretary of State,The Eleanor Roosevelt Award for Human Rights,,,William J. Clinton,"December 9, 1998",,19981214
354,Memorandum on Funding for the Korean Peninsula Development Organization,Memorandum for the Secretary of State,Use of $12 Million in Economic Support Funds for a U.S. Contribution to the Korean Peninsula Development Organization (KEDO),,,William J. Clinton,"December 24, 1998",,19981228
355,Memorandum on Assistance to Kosovo,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"January 25, 1999",,19990201
356,Memorandum on Funding for International Financial Institutions and Other ,Memorandum for the Secretary of State,"Presidential Determination Pursuant to Section 523 of the Foreign Operations, Export Financing, and Related Programs Appropriations Act, 1999 (as contained in the Omnibus Consolidated and Emergency Supplemental Appropriations Act, 1999, Public Law 105-277)",,,William J. Clinton,"January 28, 1999",,19990201
357,Memorandum on Vietnamese Cooperation in Accounting for United States ,Memorandum for the Secretary of State,Vietnamese Cooperation in Accounting for United States Prisoners of War and Missing in Action (POW/MIA),,,William J. Clinton,"February 3, 1999",,19990208
358,Memorandum on Assistance to Iraqi Democratic Opposition Organizations,Memorandum for the Secretary of State,,,,William J. Clinton,"February 4, 1999",,19990208
359,Memorandum on Waiver of Prohibition on Assistance to the Republic of ,Memorandum for the Secretary of Defense,Presidential Certification to Waive Prohibition on Assistance to the Republic of Montenegro,,,William J. Clinton,"February 16, 1999",,19990222
360,Memorandum on Certification for Major Illicit Drug Producing and Drug ,Memorandum for the Secretary of State,Certification for Major Illicit Drug Producing and Drug Transit Countries,,,William J. Clinton,"February 26, 1999",,19990301
361,Memorandum on the Korean Peninsula Energy Development Organization,Memorandum for the Secretary of State,"U.S. Contribution to KEDO: Certification Under Section 582(b) of the Foreign Operations, Export Financing, and Related Programs Appropriations Act, 1999, as contained in Public Law 105-277",,,William J. Clinton,"March 4, 1999",,19990315
362,Memorandum on Deterring and Reducing Gun Crime,"Memorandum for the Secretary of the Treasury, the Attorney General",Deterring and Reducing Gun Crime,,,William J. Clinton,"March 20, 1999",,19990329
363,Memorandum on Delegation of Authority,Memorandum for the Secretary of State,"Delegation of Authority Under Section 577 of the Foreign Operations, Export Financing, and Related Programs Appropriations Act, 1999 (as enacted in Public Law 105-277)",,,William J. Clinton,"March 23, 1999",,19990329
364,Memorandum on a Military Drawdown for Jordan,"Memorandum for the Secretary of State, the Secretary of Defense",Military Drawdown for Jordan,,,William J. Clinton,"March 25, 1999",,19990329
365,Memorandum on Emergency Refugee and Migration Assistance Funding,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"March 31, 1999",,19990405
366,Memorandum on Delegation of Functions,Memorandum for the Secretary of State,"Delegation of the Functions Vested in the President by Sections 1601(e) and 1601(g) of the Foreign Affairs Reform and Restructuring Act of 1998, as Enacted in Public Law 105-277",,,William J. Clinton,"March 31, 1999",,19990405
367,Memorandum on Drawdown of Articles and Services To Support International ,"Memorandum for the Secretary of State, the Secretary of Defense",Drawdown of Articles and Services to Support International Relief Efforts Relating to the Kosovo Conflict,,,William J. Clinton,"March 31, 1999",,19990405
368,Memorandum on Hate Crimes in Schools and College Campuses,"Memorandum for the Attorney General, the Secretary of Education",Annual Reports on Hate Crimes in Schools and College Campuses,,,William J. Clinton,"April 6, 1999",,19990412
369,Memorandum on Assistance to Croatia,Memorandum for the Secretary of State,Eligibility of the Republic of Croatia to be Furnished Defense Articles and Services Under the Foreign Assistance Act and Arms Export Control Act,,,William J. Clinton,"April 8, 1999",,19990412
370,Memorandum on Carbon Dioxide Emissions,"Memorandum for the Secretary of Energy, Administrator of the Environmental Protection Agency",Report on Carbon Dioxide (CO&lt;INF&gt;2&lt;/INF&gt;) Emissions,,,William J. Clinton,"April 15, 1999",,19990419
371,Memorandum on Delegation of Authority,Memorandum for the Attorney General,Delegation of Authority Under Sections 212(f) and 215(a)(1) of the Immigration and Nationality Act,,,William J. Clinton,"April 16, 1999",,19990426
372,Memorandum on Humanitarian Relief for Kosovar Refugees,Memorandum for All Federal Government Employees,Humanitarian Relief for Kosovar Refugees,,,William J. Clinton,"April 21, 1999",,19990426
373,Memorandum on Renewing the Federal Government-University Research ,Memorandum for the National Science and Technology Council,Renewing the Federal Government-University Research Partnership for the 21st Century,,,William J. Clinton,"April 27, 1999",,19990503
